timestamp,open,close,high,low,volume
2020-07-14T11:50:00-04:00,2.230,2.130,2.230,2.130,1705
2020-07-14T11:55:00-04:00,2.130,2.060,2.130,2.060,8237
2020-07-14T12:00:00-04:00,2.070,2.120,2.120,2.070,6771
2020-07-14T12:05:00-04:00,2.125,2.115,2.130,2.115,1200
2020-07-14T12:10:00-04:00,2.040,1.990,2.040,1.950,13913
2020-07-14T12:15:00-04:00,1.980,2.005,2.020,1.950,6258
2020-07-14T12:20:00-04:00,2.030,2.000,2.060,2.000,4640
2020-07-14T12:25:00-04:00,2.020,2.020,2.020,1.980,501
2020-07-14T12:30:00-04:00,2.075,2.060,2.090,2.060,8050
2020-07-14T12:35:00-04:00,2.060,2.040,2.060,2.020,1500
2020-07-14T12:40:00-04:00,2.050,2.140,2.160,2.050,2100
2020-07-14T12:45:00-04:00,2.160,2.170,2.200,2.150,5209
2020-07-14T12:50:00-04:00,2.160,2.180,2.190,2.140,2930
2020-07-14T12:55:00-04:00,2.190,2.120,2.190,2.120,3769
2020-07-14T13:00:00-04:00,2.120,2.085,2.120,2.070,2100
2020-07-14T13:05:00-04:00,2.140,2.080,2.140,2.080,3329
2020-07-14T13:10:00-04:00,2.060,2.060,2.070,2.050,2892
2020-07-14T13:15:00-04:00,2.070,2.130,2.150,2.060,4100
2020-07-14T13:20:00-04:00,2.115,2.090,2.115,2.090,300
2020-07-14T13:25:00-04:00,2.110,2.165,2.170,2.110,3513
2020-07-14T13:30:00-04:00,2.190,2.125,2.190,2.125,2200
2020-07-14T13:35:00-04:00,2.165,2.155,2.165,2.140,1400
2020-07-14T13:40:00-04:00,2.140,2.080,2.140,2.060,4102
2020-07-14T13:45:00-04:00,2.070,2.075,2.075,2.050,2661
2020-07-14T13:50:00-04:00,2.070,2.070,2.070,2.020,11639
2020-07-14T13:55:00-04:00,2.040,2.070,2.070,2.040,1525
2020-07-14T14:00:00-04:00,2.065,2.075,2.075,2.065,1175
2020-07-14T14:05:00-04:00,2.080,2.095,2.120,2.070,2700
2020-07-14T14:10:00-04:00,2.090,2.070,2.100,2.050,7146
2020-07-14T14:15:00-04:00,2.065,2.075,2.075,2.065,600
2020-07-14T14:20:00-04:00,2.115,2.120,2.140,2.090,1160
2020-07-14T14:25:00-04:00,2.090,2.090,2.090,2.090,100
2020-07-14T14:35:00-04:00,2.050,2.100,2.100,2.050,401
2020-07-14T14:40:00-04:00,2.070,2.050,2.070,2.050,1200
2020-07-14T14:45:00-04:00,2.055,2.030,2.055,2.030,2289
2020-07-14T14:50:00-04:00,1.960,1.940,2.000,1.880,6920
2020-07-14T14:55:00-04:00,1.930,1.950,1.965,1.930,7796
2020-07-14T15:00:00-04:00,1.945,1.930,1.960,1.925,1300
2020-07-14T15:05:00-04:00,1.940,1.915,1.940,1.905,1000
2020-07-14T15:10:00-04:00,1.890,1.890,1.890,1.860,800
2020-07-14T15:15:00-04:00,1.920,1.950,1.960,1.920,7912
2020-07-14T15:20:00-04:00,1.960,1.930,1.960,1.930,1034
2020-07-14T15:25:00-04:00,1.890,1.890,1.915,1.890,300
2020-07-14T15:35:00-04:00,1.860,1.920,1.920,1.860,10538
2020-07-14T15:40:00-04:00,1.915,1.900,1.915,1.900,900
2020-07-14T15:45:00-04:00,1.920,1.930,1.930,1.920,2700
2020-07-14T15:50:00-04:00,1.910,1.910,1.940,1.910,2289
2020-07-14T15:55:00-04:00,1.920,1.930,1.940,1.910,12142
2020-07-14T17:00:00-04:00,2.160,2.160,2.160,2.160,200
2020-07-15T09:30:00-04:00,2.000,1.910,2.000,1.870,2495
2020-07-15T09:35:00-04:00,1.930,1.910,1.930,1.910,350
2020-07-15T09:40:00-04:00,1.880,1.730,1.880,1.730,4900
2020-07-15T09:45:00-04:00,1.725,1.800,1.800,1.725,1800
2020-07-15T09:50:00-04:00,1.760,1.715,1.760,1.715,892
2020-07-15T09:55:00-04:00,1.690,1.740,1.740,1.690,1613
2020-07-15T10:00:00-04:00,1.740,1.700,1.740,1.700,300
2020-07-15T10:05:00-04:00,1.740,1.820,1.825,1.740,4870
2020-07-15T10:10:00-04:00,1.800,1.830,1.840,1.780,3850
2020-07-15T10:15:00-04:00,1.840,1.825,1.855,1.825,7919
2020-07-15T10:20:00-04:00,1.855,1.800,1.855,1.800,651
2020-07-15T10:25:00-04:00,1.745,1.745,1.745,1.745,600
2020-07-15T10:30:00-04:00,1.770,1.775,1.780,1.770,570
2020-07-15T10:35:00-04:00,1.705,1.740,1.740,1.705,600
2020-07-15T10:40:00-04:00,1.755,1.760,1.775,1.755,700
2020-07-15T10:45:00-04:00,1.765,1.765,1.800,1.760,850
2020-07-15T10:50:00-04:00,1.755,1.750,1.755,1.750,500
2020-07-15T10:55:00-04:00,1.755,1.765,1.765,1.750,2400
2020-07-15T11:00:00-04:00,1.840,2.070,2.110,1.840,75053
2020-07-15T11:05:00-04:00,2.075,2.170,2.170,1.980,33466
2020-07-15T11:10:00-04:00,2.160,2.250,2.250,2.110,19476
2020-07-15T11:15:00-04:00,2.210,2.120,2.230,2.080,16374
2020-07-15T11:20:00-04:00,2.120,2.190,2.200,2.120,3072
2020-07-15T11:25:00-04:00,2.160,2.355,2.355,2.150,11464
2020-07-15T11:30:00-04:00,2.310,2.395,2.560,2.310,13934
